,C3L-01637-02,C3L-03123-02,C3L-03356-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-01453-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000273330.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273331.1,0,0,1,0,0,0,0,0,0,1,1,2
ENSG00000273333.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273335.1,5,0,6,0,3,5,0,6,4,6,8,5
ENSG00000273336.1,28,25,23,49,34,9,11,20,30,6,6,21
ENSG00000273338.1,25,15,22,25,30,19,7,55,42,29,13,47
ENSG00000273340.1,86,160,54,148,269,39,65,31,46,87,89,103
ENSG00000273341.2,20,21,24,11,7,8,4,28,16,12,7,11
ENSG00000273342.1,3,1,1,0,0,0,0,2,1,1,1,4
ENSG00000273343.1,34,16,50,25,12,40,26,28,19,51,36,46
ENSG00000273344.1,322,130,225,119,131,671,203,182,196,213,148,130
ENSG00000273345.5,35,39,49,63,27,58,25,42,46,22,22,29
ENSG00000273348.1,6,8,9,37,12,25,9,38,7,14,10,2
ENSG00000273350.1,47,36,48,64,33,55,36,53,35,64,49,68
ENSG00000273353.1,8,22,10,8,5,13,5,10,9,19,12,16
ENSG00000273355.1,31,6,3,11,9,34,20,11,9,36,24,13
ENSG00000273356.1,26,32,24,32,46,34,24,43,38,37,24,40
ENSG00000273360.1,1,1,0,0,0,0,3,0,0,0,0,0
ENSG00000273361.1,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000273362.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273363.1,16,10,18,21,25,26,25,18,10,21,18,18
ENSG00000273365.1,7,1,3,1,4,1,1,1,0,0,1,5
ENSG00000273367.1,10,6,14,4,9,12,5,7,3,24,8,11
ENSG00000273368.1,25,15,25,47,21,12,28,22,36,63,24,49
ENSG00000273369.1,52,45,51,82,88,90,51,62,61,64,34,46
ENSG00000273370.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273372.1,26,4,46,21,29,20,29,8,37,33,11,22
ENSG00000273373.1,717,702,614,544,956,890,481,401,480,656,490,567
ENSG00000273374.1,15,9,44,57,54,56,31,36,54,29,31,61
ENSG00000273375.1,7,3,17,21,22,9,16,17,14,17,6,11
ENSG00000273377.1,0,2,6,0,4,1,2,19,1,6,6,3
ENSG00000273381.1,82,40,165,80,83,275,90,128,91,135,96,94
ENSG00000273382.1,41,33,49,23,22,33,19,34,25,44,29,27
ENSG00000273384.1,2,1,1,2,0,4,5,4,7,6,0,3
ENSG00000273387.1,43,23,50,24,36,72,25,40,25,52,21,46
ENSG00000273388.1,16,8,15,55,11,26,30,1,27,18,15,21
ENSG00000273391.1,6,6,11,6,3,26,6,14,9,12,8,5
ENSG00000273394.1,1,3,3,0,5,10,7,3,0,4,3,0
ENSG00000273396.3,2,0,7,6,10,10,5,4,6,3,3,3
ENSG00000273398.6,0,0,1,0,4,2,3,5,2,7,1,1
ENSG00000273399.2,35,7,36,13,13,23,21,28,23,30,19,13
ENSG00000273402.1,28,14,14,23,29,25,15,18,27,18,18,35
ENSG00000273403.1,5,3,6,11,21,5,6,5,18,12,9,17
ENSG00000273406.1,0,1,3,0,0,0,1,1,2,0,0,0
ENSG00000273407.1,0,2,4,2,2,12,1,0,5,8,6,2
ENSG00000273408.1,0,0,0,1,1,0,0,0,0,1,0,1
ENSG00000273409.3,14,0,3,20,2,18,5,0,24,9,18,13
ENSG00000273413.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273415.3,7,14,18,48,36,4,15,19,50,9,9,35
ENSG00000273416.1,1,6,9,6,6,13,4,7,8,4,14,10
ENSG00000273419.1,8,1,22,9,9,30,10,12,11,18,18,13
ENSG00000273420.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273423.1,0,0,1,2,6,0,0,1,5,4,3,7
ENSG00000273424.1,16,5,19,8,10,14,31,15,8,18,24,6
ENSG00000273428.3,0,1,5,0,0,2,1,19,3,2,3,4
ENSG00000273432.1,15,5,27,19,28,10,22,19,36,15,5,24
ENSG00000273433.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273434.1,0,0,1,1,2,0,0,1,1,2,2,0
ENSG00000273437.1,24,8,22,24,31,32,27,29,26,34,25,17
ENSG00000273442.1,0,0,8,2,12,5,5,3,0,6,9,5
ENSG00000273443.1,0,8,11,7,0,6,2,0,0,4,2,3
ENSG00000273444.1,6,1,16,8,9,16,15,14,15,28,21,26
ENSG00000273445.1,51,103,55,62,133,46,38,128,86,53,53,108
ENSG00000273447.1,82,41,82,85,73,86,49,80,72,79,43,46
ENSG00000273448.1,73,36,85,107,84,70,46,94,74,86,74,78
ENSG00000273449.1,88,45,114,103,92,65,76,159,89,99,39,81
ENSG00000273450.1,7,4,19,8,15,14,10,5,21,12,5,9
ENSG00000273451.1,43,35,47,41,54,56,47,28,85,59,23,63
ENSG00000273454.1,11,6,38,19,57,15,25,26,30,27,12,46
ENSG00000273455.1,2,4,7,9,10,8,5,7,3,4,2,5
ENSG00000273456.1,35,35,48,41,15,64,41,16,37,41,16,14
ENSG00000273461.5,2,0,2,1,2,0,4,9,2,1,1,1
ENSG00000273464.1,17,4,23,16,16,14,3,16,14,10,13,2
ENSG00000273471.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273472.1,48,25,37,22,38,44,30,54,54,33,36,14
ENSG00000273473.1,2,2,8,8,8,33,5,5,1,11,8,7
ENSG00000273474.1,11,5,20,9,12,14,12,20,30,7,6,14
ENSG00000273476.1,9,7,24,5,14,25,1,5,6,4,1,8
ENSG00000273481.1,7,0,2,0,3,0,0,2,4,2,4,1
ENSG00000273483.1,6,6,17,17,11,15,10,9,14,20,13,15
ENSG00000273484.1,0,0,0,0,0,0,0,1,1,0,0,1
ENSG00000273485.1,0,1,5,0,5,0,1,1,0,2,1,2
ENSG00000273486.1,55,43,113,62,230,66,63,83,102,112,74,62
ENSG00000273487.1,5,1,8,6,3,5,5,7,4,3,3,1
ENSG00000273489.1,105,44,138,122,101,165,83,148,92,88,70,104
ENSG00000273492.6,12,0,5,1,6,10,8,2,6,26,11,2
ENSG00000273493.1,0,0,3,0,0,2,0,0,1,5,0,0
ENSG00000273497.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000273499.1,1,0,0,0,0,0,0,0,1,0,1,0
ENSG00000273500.1,0,0,1,2,0,0,0,3,2,2,0,0
ENSG00000273507.5,25,18,41,53,26,51,34,63,39,47,36,53
ENSG00000273509.1,0,4,2,3,0,3,7,2,0,5,10,4
ENSG00000273512.1,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000273513.1,8,1,1,2,4,0,2,1,3,0,1,0
ENSG00000273514.1,0,1,0,0,1,3,3,0,0,0,1,0
ENSG00000273515.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273516.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000273520.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273521.1,94,39,11,33,88,27,21,18,43,60,29,34
ENSG00000273523.1,15,8,20,20,17,86,18,12,12,22,13,33
ENSG00000273524.1,32,5,5,8,8,14,6,12,6,7,8,4
ENSG00000273536.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273537.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273540.4,119,1,35,7,42,42,17,1,46,17,8,35
ENSG00000273541.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273542.2,95,43,61,53,25,217,32,76,30,118,67,73
ENSG00000273544.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273549.1,3,4,5,4,0,3,2,5,2,4,4,5
ENSG00000273550.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273551.1,7,3,13,9,12,15,13,0,6,12,10,2
ENSG00000273552.2,1,0,0,5,1,4,0,2,2,0,0,0
ENSG00000273553.1,0,2,4,4,2,8,0,3,2,5,7,1
ENSG00000273555.1,0,1,0,0,0,0,0,1,0,0,0,0
ENSG00000273557.1,7,12,17,30,37,51,18,8,69,15,16,42
ENSG00000273558.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273559.5,733,996,1088,842,851,984,604,924,808,928,606,869
ENSG00000273565.1,6,1,4,4,0,14,3,9,4,1,1,5
ENSG00000273566.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273567.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273568.1,41,14,43,30,53,58,31,52,20,25,14,38
ENSG00000273569.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000273570.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000273571.1,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000273573.1,0,1,2,0,0,1,0,0,0,1,0,1
ENSG00000273576.1,75,52,88,72,101,77,81,81,78,109,103,74
ENSG00000273580.1,0,0,3,3,2,0,1,5,0,5,5,3
ENSG00000273582.1,4,8,6,3,3,11,10,11,5,15,13,10
ENSG00000273584.1,16,13,40,35,54,39,26,84,5,81,36,37
ENSG00000273586.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273587.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273589.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273590.4,0,0,0,1,0,0,1,0,0,2,3,1
ENSG00000273591.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273593.1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000273595.1,0,0,1,1,2,1,0,0,0,0,0,0
ENSG00000273596.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273597.1,3,4,13,11,5,39,8,8,3,13,7,13
ENSG00000273598.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273599.1,314,321,373,460,307,564,262,278,299,286,337,370
ENSG00000273600.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000273604.2,38,147,52,52,85,100,30,40,43,88,79,86
ENSG00000273606.1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000273609.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273610.1,37,0,0,0,0,2,0,0,0,54,5,0
ENSG00000273611.5,910,579,786,866,872,1005,519,762,533,857,517,840
ENSG00000273612.1,0,0,1,0,1,0,0,0,0,0,0,0
ENSG00000273613.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273614.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273618.1,7,9,10,4,14,17,6,2,5,8,10,17
ENSG00000273619.1,49,21,33,27,43,99,40,24,37,58,39,32
ENSG00000273621.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273623.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273627.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273628.1,3,7,5,6,2,10,5,10,5,6,1,3
ENSG00000273629.1,3,0,0,0,1,7,0,0,0,3,0,0
ENSG00000273634.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273637.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273639.6,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000273640.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273643.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273644.1,0,2,0,0,0,0,0,1,0,0,0,0
ENSG00000273648.1,0,0,0,1,0,1,0,0,0,0,0,0
ENSG00000273650.1,0,1,4,0,2,1,3,7,4,0,2,0
ENSG00000273654.1,35,25,33,17,11,19,26,11,22,23,24,15
ENSG00000273657.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273658.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273659.1,0,0,0,0,0,0,0,1,0,0,1,0
ENSG00000273664.1,0,0,2,1,0,0,0,0,0,0,0,1
ENSG00000273668.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273669.1,13,5,12,10,1,2,13,29,22,13,11,6
ENSG00000273674.5,9,4,11,20,6,35,11,12,23,18,12,4
ENSG00000273675.1,48,59,66,65,41,44,51,47,61,84,33,65
ENSG00000273677.1,2,3,3,3,7,0,2,1,6,3,0,4
ENSG00000273679.1,0,0,0,3,2,5,1,1,2,0,1,3
ENSG00000273680.1,36,35,44,52,74,79,47,76,58,64,37,35
ENSG00000273682.1,9,4,16,6,8,10,11,24,9,18,13,7
ENSG00000273687.1,47,43,34,67,26,45,16,43,42,44,21,20
ENSG00000273691.1,87,79,126,112,93,96,104,124,78,143,100,143
ENSG00000273692.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000273693.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000273694.1,1,4,3,6,3,0,5,3,1,6,4,4
ENSG00000273696.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273698.1,0,0,1,0,0,0,0,0,0,0,3,0
ENSG00000273700.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000273701.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273702.1,32,36,37,26,40,55,62,48,33,49,23,37
ENSG00000273703.2,1076,434,284,244,237,1652,60,171,192,462,130,230
ENSG00000273704.1,0,0,1,1,0,0,0,0,0,0,0,0
ENSG00000273706.5,7,0,0,9,6,0,0,3,2,0,0,0
ENSG00000273709.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273710.1,18,24,21,20,10,11,25,27,18,24,41,16
ENSG00000273711.2,17,10,28,21,5,45,6,13,16,8,19,14
ENSG00000273712.1,4,1,7,5,1,3,4,3,10,7,0,3
ENSG00000273716.2,8,8,2,3,23,8,8,0,10,10,5,5
ENSG00000273717.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273719.1,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000273720.1,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000273721.1,0,1,0,2,0,0,0,0,1,0,0,0
ENSG00000273723.1,59,32,35,71,70,101,45,67,37,40,36,65
ENSG00000273724.1,26,8,15,5,6,28,12,10,19,12,21,4
ENSG00000273725.1,0,1,0,2,4,1,0,2,0,0,0,0
ENSG00000273727.1,2,3,7,5,3,0,1,6,5,3,1,1
ENSG00000273729.1,43,31,39,21,39,46,33,55,28,55,45,24
ENSG00000273731.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273732.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273733.1,7,3,27,8,27,25,18,18,10,22,17,14
ENSG00000273734.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273736.1,1,1,1,0,0,0,0,0,0,0,0,0
ENSG00000273742.1,15,9,5,6,6,10,5,10,2,0,2,1
ENSG00000273744.1,6,26,19,20,6,12,7,21,8,12,9,17
ENSG00000273745.1,13,9,4,12,7,9,1,1,4,8,7,10
ENSG00000273746.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000273747.1,30,26,38,40,12,17,23,23,30,23,21,33
ENSG00000273749.5,11069,5801,8199,9450,4606,12464,5218,5559,7885,8416,5771,6722
ENSG00000273750.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273756.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273758.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273759.1,103,59,60,70,104,134,55,52,77,77,55,88
ENSG00000273760.1,78,62,278,1206,453,71,65,22,231,134,124,335
ENSG00000273762.1,17,6,6,0,6,6,5,4,12,5,0,1
ENSG00000273763.2,19,9,41,14,30,45,22,15,20,46,29,18
ENSG00000273765.1,6,3,15,10,16,34,22,7,21,26,12,9
ENSG00000273767.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273768.1,25,24,89,32,37,39,218,112,60,92,113,74
ENSG00000273769.5,0,1,0,1,7,0,0,0,0,6,6,10
ENSG00000273771.1,20,5,51,49,43,50,94,68,43,73,45,23
ENSG00000273773.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273776.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273777.5,3,120,27,24,30,107,2,9,1,4,4,0
ENSG00000273778.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273782.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273783.1,14,12,23,15,16,35,20,16,7,16,12,18
ENSG00000273784.4,0,4,2,2,2,1,3,1,3,1,4,5
ENSG00000273786.1,1,0,1,1,6,3,1,1,5,3,0,2
ENSG00000273788.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273791.1,3,3,4,5,9,15,2,16,7,4,3,29
ENSG00000273792.1,62,29,100,119,47,74,109,58,71,218,117,126
ENSG00000273796.1,9,5,23,6,7,24,8,3,4,15,9,1
ENSG00000273797.1,60,108,106,98,110,97,61,186,99,134,79,122
ENSG00000273800.1,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000273802.2,1139,1611,643,792,469,6799,824,979,1204,2332,1340,930
ENSG00000273804.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273805.1,1,0,1,2,2,0,0,0,0,0,0,0
ENSG00000273806.1,0,0,0,2,3,0,1,1,0,2,0,0
ENSG00000273812.3,88,6,64,20,252,19,8,10,29,13,12,58
ENSG00000273813.1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000273816.1,1,0,2,5,0,2,5,7,4,6,0,2
ENSG00000273818.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273819.1,54,3,10,6,6,43,8,9,17,16,9,5
ENSG00000273820.2,159,93,210,124,113,342,167,149,151,301,162,121
ENSG00000273821.1,15,2,0,6,15,10,3,8,4,6,0,0
ENSG00000273824.1,16,60,22,3,12,5,10,41,37,9,3,5
ENSG00000273825.1,0,1,0,0,0,0,0,0,0,1,1,0
ENSG00000273828.2,237,331,200,265,296,302,233,297,391,238,176,399
ENSG00000273829.1,0,0,0,0,0,3,0,0,0,0,0,0
ENSG00000273830.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273835.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273836.1,2,4,1,0,1,0,5,4,1,4,0,1
ENSG00000273837.1,20,0,26,9,8,14,0,43,13,21,5,2
ENSG00000273838.2,0,1,2,2,0,23,1,0,3,2,3,0
ENSG00000273840.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273841.5,928,758,599,1098,1123,1065,603,1004,821,940,660,962
ENSG00000273844.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273846.1,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000273849.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273851.1,1,0,5,7,4,8,7,4,4,4,6,3
ENSG00000273853.1,0,0,0,2,0,0,0,0,1,1,0,0
ENSG00000273855.1,11,3,11,1,2,3,4,5,1,7,5,1
ENSG00000273858.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273860.1,0,0,0,0,0,11,0,0,0,2,0,0
ENSG00000273863.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273866.1,3,3,5,3,2,7,2,3,4,3,3,0
ENSG00000273870.1,9,15,20,16,15,27,13,20,7,20,17,13
ENSG00000273872.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273874.1,1,0,0,0,0,0,0,0,1,0,1,1
ENSG00000273876.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000273877.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273882.1,23,8,9,24,4,21,16,15,10,6,10,11
ENSG00000273885.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273886.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000273888.1,78,31,51,92,100,39,61,44,182,49,68,180
ENSG00000273890.1,1,10,16,7,19,9,4,7,11,14,10,18
ENSG00000273891.1,103,111,190,102,87,225,86,131,110,154,83,81
ENSG00000273893.1,25,7,38,27,18,56,22,23,18,26,16,29
ENSG00000273894.1,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000273897.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273898.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000273899.5,209,83,145,74,55,184,90,111,125,141,111,116
ENSG00000273900.1,1,0,0,3,1,1,2,1,0,5,1,1
ENSG00000273901.1,2,4,4,1,3,6,0,10,1,7,12,8
ENSG00000273904.1,3,3,6,6,0,5,2,5,1,4,0,3
ENSG00000273906.1,0,0,18,0,22,1,33,0,5,68,29,3
ENSG00000273907.1,0,0,0,0,0,0,0,0,1,0,1,0
ENSG00000273908.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273912.1,8,4,0,8,4,0,0,2,5,6,1,1
ENSG00000273913.1,1,0,0,1,1,0,0,0,0,0,0,0
ENSG00000273919.1,1,0,1,1,0,0,0,0,1,1,1,0
ENSG00000273920.1,15,1,7,10,2,17,10,4,9,9,6,8
ENSG00000273923.1,5,0,1,2,0,5,2,7,3,2,0,1
ENSG00000273925.1,6,0,1,3,2,1,0,2,1,1,3,1
ENSG00000273927.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273932.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000273933.1,67,4,50,171,33,111,8,56,47,45,24,9
ENSG00000273940.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273942.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273945.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273946.1,17,22,19,11,12,18,25,5,18,15,26,22
ENSG00000273948.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273950.1,6,8,8,7,9,8,6,6,8,8,9,4
ENSG00000273951.1,39,25,20,32,15,49,31,38,54,31,19,49
ENSG00000273956.1,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000273957.1,1,2,1,0,2,0,1,1,2,3,8,0
ENSG00000273958.1,5,3,11,12,3,1,0,7,8,11,7,11
ENSG00000273961.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273962.1,0,4,1,0,4,0,5,1,11,2,1,1
ENSG00000273963.1,8,9,4,3,4,47,5,7,2,7,4,7
ENSG00000273964.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273965.1,4,3,5,2,14,8,2,8,1,6,1,3
ENSG00000273966.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273971.1,0,0,0,3,2,5,1,0,0,3,0,0
ENSG00000273972.1,2,1,7,8,0,0,3,1,10,2,1,5
ENSG00000273973.1,3,7,9,7,2,10,6,9,16,15,19,5
ENSG00000273974.1,0,1,1,1,0,0,0,0,0,0,0,0
ENSG00000273975.1,5,3,15,3,8,6,7,7,0,4,9,3
ENSG00000273976.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273978.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273979.1,9,4,4,6,4,14,7,4,5,8,5,7
ENSG00000273980.1,0,1,0,0,0,1,0,2,0,1,0,2
ENSG00000273981.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273982.1,6,9,7,7,5,5,8,6,16,9,8,9
ENSG00000273983.1,448,662,204,176,104,243,149,201,353,936,564,116
ENSG00000273986.1,0,1,0,0,0,1,2,0,0,4,0,0
ENSG00000273987.1,18,17,49,68,30,32,43,42,49,54,34,33
ENSG00000273988.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273989.1,39,25,14,72,42,27,16,53,33,22,7,39
ENSG00000273994.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273997.1,2,0,2,2,0,0,1,2,1,1,0,2
ENSG00000273998.1,5,2,8,3,4,20,2,4,9,7,6,1
ENSG00000273999.1,2,4,7,5,7,4,5,3,16,5,3,1
ENSG00000274001.1,27,23,32,42,28,47,21,35,45,38,27,42
ENSG00000274002.1,0,1,3,1,1,23,5,3,3,9,3,0
ENSG00000274004.1,0,1,0,2,2,2,1,0,0,0,0,1
ENSG00000274006.1,5,2,3,4,3,2,5,3,7,2,10,6
ENSG00000274008.1,46,31,25,18,23,24,26,130,65,38,42,23
ENSG00000274010.1,2,8,12,1,5,4,6,5,10,3,2,1
ENSG00000274011.1,17,31,31,11,34,55,33,22,24,28,29,5
ENSG00000274012.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274015.2,13,14,16,7,16,8,12,18,4,32,12,18
ENSG00000274017.1,0,0,0,1,0,1,5,0,3,0,5,2
ENSG00000274019.1,0,0,0,0,0,3,3,0,0,1,2,2
ENSG00000274020.4,411,215,367,371,341,1017,302,319,339,377,220,273
ENSG00000274021.1,34,24,41,93,51,55,10,96,24,17,18,51
ENSG00000274022.1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000274023.1,24,23,32,41,44,49,20,28,18,31,9,31
ENSG00000274024.1,37,30,58,59,36,100,28,100,50,42,14,78
ENSG00000274025.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274026.2,19,21,17,15,33,56,29,14,9,45,29,14
ENSG00000274028.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274029.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274031.1,9,4,15,6,7,15,1,10,5,20,11,11
ENSG00000274033.1,0,0,1,0,0,0,0,0,0,1,0,0
ENSG00000274034.1,0,0,2,2,0,0,1,1,0,0,0,3
ENSG00000274038.1,7,48,16,45,12,20,13,18,18,29,12,23
ENSG00000274044.5,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000274046.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274049.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274051.1,13,8,5,4,11,4,9,12,1,9,6,8
ENSG00000274052.2,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000274054.1,0,1,0,0,2,1,1,0,1,1,0,0
ENSG00000274055.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000274056.1,0,0,0,0,3,1,0,0,0,0,0,0
ENSG00000274059.1,0,0,0,0,0,0,0,0,0,1,0,1
ENSG00000274060.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274062.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274064.1,14,24,24,20,14,89,11,19,31,21,25,21
ENSG00000274066.1,2,1,8,0,0,5,1,3,0,5,2,0
ENSG00000274067.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274070.2,790,179,1128,1207,873,1411,1288,774,915,1525,961,1148
ENSG00000274072.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274075.1,0,0,0,1,1,1,0,0,0,0,0,1
ENSG00000274076.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274079.1,2,0,0,0,0,0,1,0,0,0,0,3
ENSG00000274080.1,50,19,42,50,27,233,90,34,21,75,46,13
ENSG00000274086.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274090.1,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000274091.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274092.1,5,2,2,1,7,10,2,13,7,2,3,3
ENSG00000274093.1,91,121,101,178,110,138,75,131,165,121,72,160
ENSG00000274097.1,1,0,0,4,0,0,0,0,0,0,0,0
ENSG00000274098.1,0,2,0,0,5,0,1,3,4,2,4,2
ENSG00000274099.1,0,0,0,0,1,0,0,0,0,0,1,13
ENSG00000274102.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274104.1,15,17,21,40,26,47,27,16,18,52,25,35
ENSG00000274105.1,62,70,56,124,70,72,44,67,66,65,44,62
ENSG00000274111.1,0,0,0,0,0,0,0,0,0,0,0,0
